week_48,label,sci,ebird_score,in_ebird
1,Coccothraustes coccothraustes_Hawfinch,Coccothraustes coccothraustes,0.4505,True
1,Circus cyaneus_Hen Harrier,Circus cyaneus,0.4727,True
1,Grus monacha_Hooded Crane,Grus monacha,0.5466,True
1,Horornis diphone_Japanese Bush Warbler,Horornis diphone,0.6683,True
1,Picus awokera_Japanese Green Woodpecker,Picus awokera,0.3552,True
1,Yungipicus kizuki_Japanese Pygmy Woodpecker,Yungipicus kizuki,0.6573,True
1,Parus minor_Japanese Tit,Parus minor,0.9062,True
1,Motacilla grandis_Japanese Wagtail,Motacilla grandis,0.6626,True
1,Anarhynchus alexandrinus_Kentish Plover,Anarhynchus alexandrinus,0.0,False
1,Corvus macrorhynchos_Large-billed Crow,Corvus macrorhynchos,0.9959,True
1,Larus fuscus_Lesser Black-backed Gull,Larus fuscus,0.2539,True
1,Anser erythropus_Lesser White-fronted Goose,Anser erythropus,0.0863,True
1,Emberiza pusilla_Little Bunting,Emberiza pusilla,0.3403,True
1,Egretta garzetta_Little Egret,Egretta garzetta,0.6662,True
1,Tachybaptus ruficollis_Little Grebe,Tachybaptus ruficollis,0.6463,True
1,Thinornis dubius_Little Ringed Plover,Thinornis dubius,0.0,False
1,Limnodromus scolopaceus_Long-billed Dowitcher,Limnodromus scolopaceus,0.0012,True
1,Aegithalos caudatus_Long-tailed Tit,Aegithalos caudatus,0.688,True
1,Anas platyrhynchos_Mallard,Anas platyrhynchos,0.8545,True
1,Aix galericulata_Mandarin Duck,Aix galericulata,0.4009,True
1,Tringa stagnatilis_Marsh Sandpiper,Tringa stagnatilis,0.2291,True
1,Emberiza cioides_Meadow Bunting,Emberiza cioides,0.5599,True
1,Falco columbarius_Merlin,Falco columbarius,0.3869,True
1,Cygnus olor_Mute Swan,Cygnus olor,0.3821,True
1,Ficedula narcissina_Narcissus Flycatcher,Ficedula narcissina,0.0649,True
1,Ninox japonica_Northern Boobook,Ninox japonica,0.2162,True
1,Vanellus vanellus_Northern Lapwing,Vanellus vanellus,0.57,True
1,Anas acuta_Northern Pintail,Anas acuta,0.649,True
1,Corvus corax_Northern Raven,Corvus corax,0.0006,True
1,Spatula clypeata_Northern Shoveler,Spatula clypeata,0.5664,True
1,Anthus hodgsoni_Olive-backed Pipit,Anthus hodgsoni,0.5191,True
1,Chloris sinica_Oriental Greenfinch,Chloris sinica,0.7049,True
1,Pernis ptilorhynchus_Oriental Honey-buzzard,Pernis ptilorhynchus,0.0571,True
1,Acrocephalus orientalis_Oriental Reed Warbler,Acrocephalus orientalis,0.0256,True
1,Streptopelia orientalis_Oriental Turtle-Dove,Streptopelia orientalis,0.9797,True
1,Pandion haliaetus_Osprey,Pandion haliaetus,0.6311,True
1,Pluvialis fulva_Pacific Golden-Plover,Pluvialis fulva,0.2191,True
1,Turdus pallidus_Pale Thrush,Turdus pallidus,0.7435,True
1,Stercorarius parasiticus_Parasitic Jaeger,Stercorarius parasiticus,0.0908,True
1,Falco peregrinus_Peregrine Falcon,Falco peregrinus,0.3745,True
1,Recurvirostra avosetta_Pied Avocet,Recurvirostra avosetta,0.0602,True
1,Spodiopsar sericeus_Red-billed Starling,Spodiopsar sericeus,0.3977,True
1,Ficedula parva_Red-breasted Flycatcher,Ficedula parva,0.0,True
1,Mergus serrator_Red-breasted Merganser,Mergus serrator,0.4497,True
1,Tarsiger cyanurus_Red-flanked Bluetail,Tarsiger cyanurus,0.521,True
1,Calidris ruficollis_Red-necked Stint,Calidris ruficollis,0.149,True
1,Anthus cervinus_Red-throated Pipit,Anthus cervinus,0.38,True
1,Gallus gallus_Red Junglefowl,Gallus gallus,0.0,True
1,Calidris canutus_Red Knot,Calidris canutus,0.1003,True
1,Emberiza schoeniclus_Reed Bunting,Emberiza schoeniclus,0.4246,True
1,Anthus richardi_Richard's Pipit,Anthus richardi,0.2778,True
1,Columba livia_Rock Pigeon,Columba livia,0.239,True
1,Corvus frugilegus_Rook,Corvus frugilegus,0.5697,True
1,Calidris pugnax_Ruff,Calidris pugnax,0.2734,True
1,Passer cinnamomeus_Russet Sparrow,Passer cinnamomeus,0.4314,True
1,Emberiza rustica_Rustic Bunting,Emberiza rustica,0.4795,True
1,Pericrocotus tegimae_Ryukyu Minivet,Pericrocotus tegimae,0.4355,True
1,Calidris alba_Sanderling,Calidris alba,0.3576,True
1,Antigone canadensis_Sandhill Crane,Antigone canadensis,0.1915,True
1,Asio flammeus_Short-eared Owl,Asio flammeus,0.3546,True
1,Leucogeranus leucogeranus_Siberian Crane,Leucogeranus leucogeranus,0.0098,True
1,Nucifraga caryocatactes_Spotted Nutcracker,Nucifraga caryocatactes,0.2622,True
1,Tringa erythropus_Spotted Redshank,Tringa erythropus,0.1654,True
1,Anser cygnoides_Swan Goose,Anser cygnoides,0.0294,True
1,Xenus cinereus_Terek Sandpiper,Xenus cinereus,0.1203,True
1,Aythya fuligula_Tufted Duck,Aythya fuligula,0.596,True
